Geography Name,Geography Type,Year,Hour of Day,Avg. Demand (kW)
880c733acbfffff,H3,2028,16,3.4
880c733acbfffff,H3,2028,17,4.4
880c733acbfffff,H3,2028,18,5.1
880c733acbfffff,H3,2028,19,5.5
880c733acbfffff,H3,2028,20,5.7
880c733acbfffff,H3,2028,21,5.6
880c733acbfffff,H3,2028,22,5.1
880c733acbfffff,H3,2028,23,4.5
880c7385b3fffff,H3,2028,0,4.3
880c7385b3fffff,H3,2028,1,3.8
880c7385b3fffff,H3,2028,2,3.3
880c7385b3fffff,H3,2028,3,3.0
880c7385b3fffff,H3,2028,4,2.6
880c7385b3fffff,H3,2028,5,2.4
880c7385b3fffff,H3,2028,6,2.2
880c7385b3fffff,H3,2028,7,1.7
880c7385b3fffff,H3,2028,8,1.5
880c7385b3fffff,H3,2028,9,1.4
880c7385b3fffff,H3,2028,10,1.5
880c7385b3fffff,H3,2028,11,1.7
880c7385b3fffff,H3,2028,12,2.0
880c7385b3fffff,H3,2028,13,2.3
880c7385b3fffff,H3,2028,14,2.5
880c7385b3fffff,H3,2028,15,3.0
880c7385b3fffff,H3,2028,16,3.6
880c7385b3fffff,H3,2028,17,4.8
880c7385b3fffff,H3,2028,18,5.7
880c7385b3fffff,H3,2028,19,6.0
880c7385b3fffff,H3,2028,20,6.2
880c7385b3fffff,H3,2028,21,6.1
880c7385b3fffff,H3,2028,22,5.7
880c7385b3fffff,H3,2028,23,5.0
880c73b23dfffff,H3,2028,0,7.2
880c73b23dfffff,H3,2028,1,6.2
880c73b23dfffff,H3,2028,2,5.5
880c73b23dfffff,H3,2028,3,4.9
880c73b23dfffff,H3,2028,4,4.4
880c73b23dfffff,H3,2028,5,4.0
880c73b23dfffff,H3,2028,6,3.6
880c73b23dfffff,H3,2028,7,3.0
880c73b23dfffff,H3,2028,8,2.5
880c73b23dfffff,H3,2028,9,2.4
880c73b23dfffff,H3,2028,10,2.6
880c73b23dfffff,H3,2028,11,3.0
880c73b23dfffff,H3,2028,12,3.4
880c73b23dfffff,H3,2028,13,3.9
880c73b23dfffff,H3,2028,14,4.3
880c73b23dfffff,H3,2028,15,5.1
880c73b23dfffff,H3,2028,16,6.2
880c73b23dfffff,H3,2028,17,8.2
880c73b23dfffff,H3,2028,18,9.5
880c73b23dfffff,H3,2028,19,10.2
880c73b23dfffff,H3,2028,20,10.6
880c73b23dfffff,H3,2028,21,10.3
880c73b23dfffff,H3,2028,22,9.5
880c73b23dfffff,H3,2028,23,8.4
880c74d485fffff,H3,2028,0,3.8
880c74d485fffff,H3,2028,1,3.3
880c74d485fffff,H3,2028,2,2.8
880c74d485fffff,H3,2028,3,2.4
880c74d485fffff,H3,2028,4,2.0
880c74d485fffff,H3,2028,5,1.7
880c74d485fffff,H3,2028,6,1.5
880c74d485fffff,H3,2028,7,1.1
880c74d485fffff,H3,2028,8,1.0
880c74d485fffff,H3,2028,9,0.9
880c74d485fffff,H3,2028,10,1.0
880c74d485fffff,H3,2028,11,1.2
880c74d485fffff,H3,2028,12,1.5
880c74d485fffff,H3,2028,13,1.7
880c74d485fffff,H3,2028,14,1.8
880c74d485fffff,H3,2028,15,2.0
880c74d485fffff,H3,2028,16,2.5
880c74d485fffff,H3,2028,17,3.1
880c74d485fffff,H3,2028,18,3.5
880c74d485fffff,H3,2028,19,3.8
880c74d485fffff,H3,2028,20,4.1
880c74d485fffff,H3,2028,21,4.3
880c74d485fffff,H3,2028,22,4.3
880c74d485fffff,H3,2028,23,4.2
880d58486bfffff,H3,2028,0,15.7
880d58486bfffff,H3,2028,1,13.6
880d58486bfffff,H3,2028,2,11.8
880d58486bfffff,H3,2028,3,10.5
880d58486bfffff,H3,2028,4,9.3
880d58486bfffff,H3,2028,5,8.4
880d58486bfffff,H3,2028,6,7.7
880d58486bfffff,H3,2028,7,6.5
880d58486bfffff,H3,2028,8,5.7
880d58486bfffff,H3,2028,9,5.5
880d58486bfffff,H3,2028,10,5.9
880d58486bfffff,H3,2028,11,6.7
880d58486bfffff,H3,2028,12,8.0
880d58486bfffff,H3,2028,13,9.0
880d58486bfffff,H3,2028,14,9.8
880d58486bfffff,H3,2028,15,11.6
880d58486bfffff,H3,2028,16,14.4
880d58486bfffff,H3,2028,17,18.4
