Year,Hour of Day,Avg. Demand,County
2024,14,1.0,buchanan
2024,15,1.2,buchanan
2024,16,1.6,buchanan
2024,17,2.0,buchanan
2024,18,2.4,buchanan
2024,19,2.5,buchanan
2024,20,2.6,buchanan
2024,21,2.6,buchanan
2024,22,2.4,buchanan
2024,23,2.2,buchanan
2024,0,1.2,polk
2024,1,1.1,polk
2024,2,0.9,polk
2024,3,0.9,polk
2024,4,0.8,polk
2024,5,0.7,polk
2024,6,0.7,polk
2024,7,0.5,polk
2024,8,0.5,polk
2024,9,0.3,polk
2024,10,0.5,polk
2024,11,0.5,polk
2024,12,0.6,polk
2024,13,0.7,polk
2024,14,0.7,polk
2024,15,0.8,polk
2024,16,1.0,polk
2024,17,1.4,polk
2024,18,1.6,polk
2024,19,1.7,polk
2024,20,1.8,polk
2024,21,1.8,polk
2024,22,1.6,polk
2024,23,1.5,polk
2024,0,14.4,polk
2024,1,12.6,polk
2024,2,11.0,polk
2024,3,9.9,polk
2024,4,9.0,polk
2024,5,8.1,polk
2024,6,7.3,polk
2024,7,5.8,polk
2024,8,5.0,polk
2024,9,4.8,polk
2024,10,5.2,polk
2024,11,5.9,polk
2024,12,6.8,polk
2024,13,7.6,polk
2024,14,8.5,polk
2024,15,10.0,polk
2024,16,12.4,polk
2024,17,16.2,polk
2024,18,19.0,polk
2024,19,20.3,polk
2024,20,21.1,polk
2024,21,20.7,polk
2024,22,19.2,polk
2024,23,17.0,polk
2024,0,1.4,polk
2024,1,1.2,polk
2024,2,1.0,polk
2024,3,0.9,polk
2024,4,0.8,polk
2024,5,0.8,polk
2024,6,0.7,polk
2024,7,0.6,polk
2024,8,0.6,polk
2024,9,0.5,polk
2024,10,0.6,polk
2024,11,0.6,polk
2024,12,0.7,polk
2024,13,0.8,polk
2024,14,0.9,polk
2024,15,1.0,polk
2024,16,1.2,polk
2024,17,1.6,polk
2024,18,1.8,polk
2024,19,2.0,polk
2024,20,2.0,polk
2024,21,2.0,polk
2024,22,1.8,polk
2024,23,1.6,polk
2024,0,4.7,polk
2024,1,4.1,polk
2024,2,3.5,polk
2024,3,3.2,polk
2024,4,3.0,polk
2024,5,2.6,polk
2024,6,2.3,polk
2024,7,1.8,polk
2024,8,1.6,polk
2024,9,1.5,polk
2024,10,1.6,polk
2024,11,1.8,polk
2024,12,2.2,polk
2024,13,2.4,polk
2024,14,2.7,polk
2024,15,3.2,polk
2024,16,4.0,polk
2024,17,5.1,polk
2024,18,6.0,polk
2024,19,6.5,polk
2024,20,6.8,polk
2024,21,6.6,polk
2024,22,6.1,polk
2024,23,5.5,polk
2024,0,12.4,polk
2024,1,10.9,polk
2024,2,9.4,polk
2024,3,8.5,polk
2024,4,7.7,polk
2024,5,7.0,polk
2024,6,6.2,polk
2024,7,4.9,polk
2024,8,4.1,polk
2024,9,4.0,polk
2024,10,4.3,polk
2024,11,4.9,polk
2024,12,5.7,polk
2024,13,6.4,polk
2024,14,7.2,polk
2024,15,8.4,polk
2024,16,10.5,polk
2024,17,13.6,polk
2024,18,16.0,polk
2024,19,17.3,polk
2024,20,18.0,polk
2024,21,17.6,polk
2024,22,16.4,polk
2024,23,14.5,polk
2024,0,1.5,douglas
2024,1,1.2,douglas
2024,2,1.1,douglas
2024,3,1.0,douglas
2024,4,0.9,douglas
2024,5,0.8,douglas
2024,6,0.8,douglas
2024,7,0.6,douglas
2024,8,0.5,douglas
2024,9,0.5,douglas
2024,10,0.6,douglas
2024,11,0.6,douglas
2024,12,0.7,douglas
2024,13,0.8,douglas
2024,14,0.8,douglas
2024,15,1.0,douglas
2024,16,1.2,douglas
2024,17,1.6,douglas
2024,18,1.9,douglas
2024,19,2.0,douglas
2024,20,2.2,douglas
2024,21,2.0,douglas
2024,22,1.9,douglas
2024,23,1.7,douglas
2024,0,1.9,oglala lakota
2024,1,1.6,oglala lakota
2024,2,1.4,oglala lakota
2024,3,1.2,oglala lakota
2024,4,1.1,oglala lakota
2024,5,1.0,oglala lakota
2024,6,1.0,oglala lakota
2024,7,0.9,oglala lakota
2024,8,0.9,oglala lakota
2024,9,1.0,oglala lakota
2024,10,1.1,oglala lakota
2024,11,1.2,oglala lakota
2024,12,1.4,oglala lakota
2024,13,1.6,oglala lakota
2024,14,1.6,oglala lakota
2024,15,1.8,oglala lakota
2024,16,2.2,oglala lakota
2024,17,2.6,oglala lakota
2024,18,3.1,oglala lakota
2024,19,3.1,oglala lakota
2024,20,3.2,oglala lakota
2024,21,3.0,oglala lakota
2024,22,2.7,oglala lakota
2024,23,2.4,oglala lakota
2024,0,1.6,pennington
2024,1,1.4,pennington
2024,2,1.2,pennington
2024,3,1.0,pennington
2024,4,1.0,pennington
2024,5,0.9,pennington
2024,6,0.8,pennington
2024,7,0.7,pennington
2024,8,0.6,pennington
2024,9,0.6,pennington
2024,10,0.6,pennington
2024,11,0.7,pennington
2024,12,0.7,pennington
2024,13,0.8,pennington
2024,14,0.9,pennington
2024,15,1.0,pennington
2024,16,1.4,pennington
2024,17,1.7,pennington
2024,18,2.0,pennington
